id;celda;fecha_hora;pot_activa;pot_reactiva
433334058;SM04;3/02/2025 11:15;0;0
433334078;SM04;3/02/2025 16:15;0;0
433772581;SM03;4/02/2025 10:15;0;0
433772593;SM03;4/02/2025 13:15;0;0
433772599;SM03;4/02/2025 14:45;0;0
433772675;SM04;4/02/2025 09:45;0;0
434211209;SM03;5/02/2025 11:15;0;0
434211211;SM03;5/02/2025 11:45;0;0
434211226;SM03;5/02/2025 15:30;0;0
434211240;SM03;5/02/2025 19:00;0;0
434211273;SM04;5/02/2025 03:15;0;0
434211287;SM04;5/02/2025 06:45;0;0
434211262;SM04;5/02/2025 00:30;0;0
432456685;SM03;1/02/2025 04:00;0;0
432895319;SM03;2/02/2025 06:30;0;0
432895294;SM03;2/02/2025 00:15;0;0
432895367;SM03;2/02/2025 18:30;0;0
432895369;SM03;2/02/2025 19:00;0;0
432895432;SM04;2/02/2025 10:45;0;0
432895461;SM04;2/02/2025 18:00;0;0
432895477;SM04;2/02/2025 22:00;0;0
450648940;SM03;30/01/2025 11:00;0;0
450649002;SM04;30/01/2025 02:30;0;0
450649017;SM04;30/01/2025 06:15;0;0
451087570;SM03;31/01/2025 14:15;0;0
451087645;SM04;31/01/2025 09:00;0;0
449771695;SM03;28/01/2025 10:15;0;0
449771657;SM03;28/01/2025 00:45;0;0
449771659;SM03;28/01/2025 01:15;0;0
563622736;SM03;26/08/2025 10:30;3.67;0.437
566861882;SM04;27/08/2025 22:45;-1.318;0.222
550658758;SM04;24/08/2025 12:45;-1.335;0.186
550658798;SM04;24/08/2025 22:45;-1.446;0.175
550655728;SM03;24/08/2025 23:15;3.524;-0.211
560380859;SM03;25/08/2025 12:00;4.017;0.471
560380823;SM03;25/08/2025 03:00;2.418;-0.421
560383963;SM04;25/08/2025 20:00;-1.05;-0.121
560383974;SM04;25/08/2025 22:45;-1.417;0.226
553896802;SM04;22/08/2025 07:45;-1.667;0.137
553896728;SM03;22/08/2025 13:15;3.87;0.488
557139693;SM04;23/08/2025 08:30;-1.422;0.197
